env=HalfCheetah-v2, random_seed=0, relative_mass=1.0, result=10489.9111328125±58.42567825317383
env=Hopper-v2, random_seed=0, relative_mass=1.0, result=3364.822265625±6.938945293426514
env=Walker2d-v3, random_seed=0, relative_mass=1.0, result=4333.5234375±337.76824951171875
env=Ant-v2, random_seed=0, relative_mass=1.0, result=3287.858642578125±406.9928894042969
env=LunarLanderContinuous-v2, random_seed=0, relative_mass=1.0, result=281.3598937988281±9.779084205627441
env=BipedalWalker-v2, random_seed=0, relative_mass=1.0, result=288.1139221191406±0.4016720950603485
env=Humanoid-v2, random_seed=0, relative_mass=1.0, result=6318.37646484375±184.8814239501953
env=BipedalWalkerHardcore-v2, random_seed=0, relative_mass=1.0, result=-75.5855941772461±15.807518005371094
env=HalfCheetah-v2, random_seed=1, relative_mass=1.0, result=8917.1015625±61.1015625
env=Hopper-v2, random_seed=1, relative_mass=1.0, result=3188.9873046875±12.755574226379395
env=Walker2d-v3, random_seed=1, relative_mass=1.0, result=3377.311767578125±14.285529136657715
env=Ant-v2, random_seed=1, relative_mass=1.0, result=3667.064697265625±259.7230224609375
env=LunarLanderContinuous-v2, random_seed=1, relative_mass=1.0, result=279.49371337890625±9.500069618225098
env=BipedalWalker-v2, random_seed=1, relative_mass=1.0, result=285.9742431640625±0.8313928842544556
env=Humanoid-v2, random_seed=1, relative_mass=1.0, result=5729.6826171875±6.5914626121521
env=BipedalWalkerHardcore-v2, random_seed=1, relative_mass=1.0, result=-85.52574920654297±21.458127975463867
env=HalfCheetah-v2, random_seed=2, relative_mass=1.0, result=8330.8193359375±51.408077239990234
env=Hopper-v2, random_seed=2, relative_mass=1.0, result=3465.365966796875±2.668220043182373
env=Walker2d-v3, random_seed=2, relative_mass=1.0, result=4490.07861328125±436.60052490234375
env=Ant-v2, random_seed=2, relative_mass=1.0, result=2813.671875±18.108980178833008
