iter=250 n_episodes=3 episode_len=1094 total_reward=-172.31973468903476
iter=349 n_episodes=4 episode_len=99 total_reward=-128.18973614413858
iter=459 n_episodes=5 episode_len=110 total_reward=-130.7079155001641
iter=574 n_episodes=6 episode_len=115 total_reward=-130.48088589313565
iter=758 n_episodes=7 episode_len=184 total_reward=-140.34677952109638
iter=800 n_episodes=8 episode_len=42 total_reward=-123.41335497211413
iter=972 n_episodes=9 episode_len=172 total_reward=-122.3978956019577
iter=2572 n_episodes=10 episode_len=1600 total_reward=-179.58384692771594
iter=2612 n_episodes=11 episode_len=40 total_reward=-118.73596510484379
iter=2659 n_episodes=12 episode_len=47 total_reward=-120.11143245767532
iter=2858 n_episodes=13 episode_len=199 total_reward=-124.69130510174325
iter=2960 n_episodes=14 episode_len=102 total_reward=-128.84881917678214
iter=3006 n_episodes=15 episode_len=46 total_reward=-121.65534210226473
iter=3053 n_episodes=16 episode_len=47 total_reward=-119.28810951725698
iter=3099 n_episodes=17 episode_len=46 total_reward=-121.56014292204812
iter=3145 n_episodes=18 episode_len=46 total_reward=-123.54076100270008
iter=3191 n_episodes=19 episode_len=46 total_reward=-121.38756758402107
iter=3233 n_episodes=20 episode_len=42 total_reward=-124.24024501722796
iter=3275 n_episodes=21 episode_len=42 total_reward=-117.62933838306074
iter=3317 n_episodes=22 episode_len=42 total_reward=-123.69733922402779
iter=3360 n_episodes=23 episode_len=43 total_reward=-124.8366437377056
iter=3401 n_episodes=24 episode_len=41 total_reward=-123.90354300426493
iter=3443 n_episodes=25 episode_len=42 total_reward=-124.42113820446528
iter=3523 n_episodes=26 episode_len=80 total_reward=-123.39790148066085
iter=3567 n_episodes=27 episode_len=44 total_reward=-122.42933011587526
iter=3645 n_episodes=28 episode_len=78 total_reward=-122.3006006733715
iter=3688 n_episodes=29 episode_len=43 total_reward=-123.43523264808677
iter=3826 n_episodes=30 episode_len=138 total_reward=-133.03995051330585
iter=3948 n_episodes=31 episode_len=122 total_reward=-131.52022912007794
iter=4028 n_episodes=32 episode_len=80 total_reward=-122.37625302117475
iter=4108 n_episodes=33 episode_len=80 total_reward=-123.03839025718109
iter=4227 n_episodes=34 episode_len=119 total_reward=-130.39440124602015
iter=4269 n_episodes=35 episode_len=42 total_reward=-123.23850971520453
iter=4350 n_episodes=36 episode_len=81 total_reward=-123.52636855901022
iter=4441 n_episodes=37 episode_len=91 total_reward=-113.17056763899431
iter=4484 n_episodes=38 episode_len=43 total_reward=-116.55087013678674
iter=4588 n_episodes=39 episode_len=104 total_reward=-114.00999294983205
iter=4670 n_episodes=40 episode_len=82 total_reward=-122.80197673254023
iter=4764 n_episodes=41 episode_len=94 total_reward=-126.28104868049039
iter=4847 n_episodes=42 episode_len=83 total_reward=-121.41029339929793
iter=4927 n_episodes=43 episode_len=80 total_reward=-121.93326055438493
iter=5010 n_episodes=44 episode_len=83 total_reward=-121.00035732367212
iter=5092 n_episodes=45 episode_len=82 total_reward=-123.3483883671293
iter=5172 n_episodes=46 episode_len=80 total_reward=-122.05304184985684
iter=5253 n_episodes=47 episode_len=81 total_reward=-123.51212385566328
iter=5333 n_episodes=48 episode_len=80 total_reward=-123.18180696302987
iter=5412 n_episodes=49 episode_len=79 total_reward=-122.6629649808022
iter=5493 n_episodes=50 episode_len=81 total_reward=-123.14791357388306
iter=5574 n_episodes=51 episode_len=81 total_reward=-123.08813299126012
iter=5652 n_episodes=52 episode_len=78 total_reward=-121.38030911637476
iter=5732 n_episodes=53 episode_len=80 total_reward=-122.68872896513187
iter=5813 n_episodes=54 episode_len=81 total_reward=-122.88665713213078
iter=5937 n_episodes=55 episode_len=124 total_reward=-131.37064778637287
iter=6015 n_episodes=56 episode_len=78 total_reward=-122.07065261348856
iter=6098 n_episodes=57 episode_len=83 total_reward=-121.4451744352412
iter=6176 n_episodes=58 episode_len=78 total_reward=-122.0085742850754
