iter=186 n_episodes=3 episode_len=1045 total_reward=-164.26123562709637
iter=224 n_episodes=4 episode_len=38 total_reward=-118.08570466956357
iter=265 n_episodes=5 episode_len=41 total_reward=-123.33288251118869
iter=394 n_episodes=6 episode_len=129 total_reward=-115.2168739863652
iter=514 n_episodes=7 episode_len=120 total_reward=-114.55947846731208
iter=744 n_episodes=8 episode_len=230 total_reward=-123.96540529302271
iter=786 n_episodes=9 episode_len=42 total_reward=-120.57831687103032
iter=829 n_episodes=10 episode_len=43 total_reward=-119.90025176627321
iter=903 n_episodes=11 episode_len=74 total_reward=-118.38922093911496
iter=946 n_episodes=12 episode_len=43 total_reward=-121.69705771951378
iter=989 n_episodes=13 episode_len=43 total_reward=-121.55450631037691
iter=1032 n_episodes=14 episode_len=43 total_reward=-122.05912038526995
iter=1075 n_episodes=15 episode_len=43 total_reward=-121.65850436440323
iter=1118 n_episodes=16 episode_len=43 total_reward=-121.89731093628436
iter=1159 n_episodes=17 episode_len=41 total_reward=-122.91941560102913
iter=1201 n_episodes=18 episode_len=42 total_reward=-122.3542365277677
iter=1435 n_episodes=19 episode_len=234 total_reward=-125.899076961533
iter=1506 n_episodes=20 episode_len=71 total_reward=-107.54845035893594
iter=1553 n_episodes=21 episode_len=47 total_reward=-103.39571149447629
iter=1600 n_episodes=22 episode_len=47 total_reward=-103.78796413288597
iter=1653 n_episodes=23 episode_len=53 total_reward=-102.75817085872231
iter=1706 n_episodes=24 episode_len=53 total_reward=-102.05518635013047
iter=1764 n_episodes=25 episode_len=58 total_reward=-101.33624297601807
iter=1827 n_episodes=26 episode_len=63 total_reward=-103.59252037340715
iter=1877 n_episodes=27 episode_len=50 total_reward=-102.68122908420627
iter=1941 n_episodes=28 episode_len=64 total_reward=-101.19280404601433
iter=1991 n_episodes=29 episode_len=50 total_reward=-102.39573038906373
iter=2037 n_episodes=30 episode_len=46 total_reward=-104.58598103556803
iter=2092 n_episodes=31 episode_len=55 total_reward=-101.67583537258143
iter=2143 n_episodes=32 episode_len=51 total_reward=-102.2449907536563
iter=2201 n_episodes=33 episode_len=58 total_reward=-101.20617546888676
iter=2279 n_episodes=34 episode_len=78 total_reward=-102.82348923518086
iter=2324 n_episodes=35 episode_len=45 total_reward=-104.98190756744995
iter=2377 n_episodes=36 episode_len=53 total_reward=-101.89985340794081
iter=2433 n_episodes=37 episode_len=56 total_reward=-101.48541597089229
iter=2482 n_episodes=38 episode_len=49 total_reward=-103.01568284109437
iter=2525 n_episodes=39 episode_len=43 total_reward=-106.00594489320704
iter=2577 n_episodes=40 episode_len=52 total_reward=-108.31835489294365
iter=2626 n_episodes=41 episode_len=49 total_reward=-105.04006482086255
