iter=12 n_episodes=49 episode_len=18 total_reward=12.919610821391704
iter=37 n_episodes=50 episode_len=25 total_reward=2.1383779306957793
iter=56 n_episodes=51 episode_len=19 total_reward=-0.02504109791750697
iter=76 n_episodes=52 episode_len=20 total_reward=0.01127304947375718
iter=100 n_episodes=53 episode_len=24 total_reward=3.2672075907842304
iter=124 n_episodes=54 episode_len=24 total_reward=41.4259209993182
iter=147 n_episodes=55 episode_len=23 total_reward=40.33703593018045
iter=170 n_episodes=56 episode_len=23 total_reward=40.13289456851465
iter=192 n_episodes=57 episode_len=22 total_reward=38.669386610416886
iter=214 n_episodes=58 episode_len=22 total_reward=38.52083624304751
iter=237 n_episodes=59 episode_len=23 total_reward=40.36922652853603
iter=259 n_episodes=60 episode_len=22 total_reward=38.52744034188149
iter=281 n_episodes=61 episode_len=22 total_reward=39.00722987514097
iter=304 n_episodes=62 episode_len=23 total_reward=40.441497536477705
iter=326 n_episodes=63 episode_len=22 total_reward=38.36310970717271
iter=348 n_episodes=64 episode_len=22 total_reward=38.693510958614155
iter=370 n_episodes=65 episode_len=22 total_reward=38.534836605351536
iter=392 n_episodes=66 episode_len=22 total_reward=38.390490197698114
iter=414 n_episodes=67 episode_len=22 total_reward=38.86326870864408
iter=436 n_episodes=68 episode_len=22 total_reward=38.509853751998314
iter=458 n_episodes=69 episode_len=22 total_reward=38.568486525167856
iter=480 n_episodes=70 episode_len=22 total_reward=38.49109436662617
iter=502 n_episodes=71 episode_len=22 total_reward=38.88750335874599
iter=524 n_episodes=72 episode_len=22 total_reward=38.78408204744592
iter=546 n_episodes=73 episode_len=22 total_reward=38.349856348413326
iter=568 n_episodes=74 episode_len=22 total_reward=38.78714231906878
iter=591 n_episodes=75 episode_len=23 total_reward=40.209041942037175
iter=613 n_episodes=76 episode_len=22 total_reward=38.82371011384095
iter=635 n_episodes=77 episode_len=22 total_reward=38.795872971698365
iter=657 n_episodes=78 episode_len=22 total_reward=38.33732182625006
iter=680 n_episodes=79 episode_len=23 total_reward=39.998327234802346
iter=703 n_episodes=80 episode_len=23 total_reward=40.5677207462465
iter=726 n_episodes=81 episode_len=23 total_reward=40.4511912472707
iter=752 n_episodes=82 episode_len=26 total_reward=45.76134971604406
iter=805 n_episodes=83 episode_len=53 total_reward=89.43831414998135
iter=854 n_episodes=84 episode_len=49 total_reward=86.98177906023034
iter=912 n_episodes=85 episode_len=58 total_reward=104.94957319762719
iter=977 n_episodes=86 episode_len=65 total_reward=117.03361857894438
iter=1055 n_episodes=87 episode_len=78 total_reward=142.1818523933092
iter=1137 n_episodes=88 episode_len=82 total_reward=153.54142298192633
iter=1224 n_episodes=89 episode_len=87 total_reward=163.64659897309022
iter=1299 n_episodes=90 episode_len=75 total_reward=136.8706543888372
iter=1387 n_episodes=91 episode_len=88 total_reward=167.4104653911717
iter=1475 n_episodes=92 episode_len=88 total_reward=169.3893296407412
iter=1562 n_episodes=93 episode_len=87 total_reward=168.3567443649997
iter=1648 n_episodes=94 episode_len=86 total_reward=165.6652422703521
iter=1734 n_episodes=95 episode_len=86 total_reward=166.64921405497913
iter=1820 n_episodes=96 episode_len=86 total_reward=168.592579842109
iter=1892 n_episodes=97 episode_len=72 total_reward=135.41729600617808
iter=1962 n_episodes=98 episode_len=70 total_reward=127.72726040587823
iter=2033 n_episodes=99 episode_len=71 total_reward=132.54490627408939
