iter=22 n_episodes=410 episode_len=24 total_reward=130.6220923652144
iter=38 n_episodes=411 episode_len=16 total_reward=76.88934496746674
iter=54 n_episodes=412 episode_len=16 total_reward=76.52930980109694
iter=70 n_episodes=413 episode_len=16 total_reward=75.95160646745467
iter=85 n_episodes=414 episode_len=15 total_reward=71.47805954008236
iter=100 n_episodes=415 episode_len=15 total_reward=71.27070578996725
iter=115 n_episodes=416 episode_len=15 total_reward=71.30329095559941
iter=130 n_episodes=417 episode_len=15 total_reward=71.18097555973728
iter=145 n_episodes=418 episode_len=15 total_reward=71.41761408279072
iter=161 n_episodes=419 episode_len=16 total_reward=76.32133961408083
iter=176 n_episodes=420 episode_len=15 total_reward=71.48135903668768
iter=191 n_episodes=421 episode_len=15 total_reward=71.38345017327532
iter=206 n_episodes=422 episode_len=15 total_reward=71.39535455996678
iter=221 n_episodes=423 episode_len=15 total_reward=71.12398297325072
iter=236 n_episodes=424 episode_len=15 total_reward=71.06768556237738
iter=251 n_episodes=425 episode_len=15 total_reward=71.24611151593024
iter=266 n_episodes=426 episode_len=15 total_reward=71.06789615045392
iter=281 n_episodes=427 episode_len=15 total_reward=71.42151261020945
iter=296 n_episodes=428 episode_len=15 total_reward=71.40957606178013
iter=311 n_episodes=429 episode_len=15 total_reward=71.23730102352746
iter=326 n_episodes=430 episode_len=15 total_reward=71.17889248176483
iter=341 n_episodes=431 episode_len=15 total_reward=71.16527051746428
iter=356 n_episodes=432 episode_len=15 total_reward=71.1670499594492
iter=371 n_episodes=433 episode_len=15 total_reward=71.42626301508709
iter=386 n_episodes=434 episode_len=15 total_reward=71.2956672763249
iter=401 n_episodes=435 episode_len=15 total_reward=71.02349427487744
iter=416 n_episodes=436 episode_len=15 total_reward=71.16883497394191
iter=431 n_episodes=437 episode_len=15 total_reward=71.12594143919804
iter=446 n_episodes=438 episode_len=15 total_reward=71.32380186541462
iter=461 n_episodes=439 episode_len=15 total_reward=71.15293644976985
iter=476 n_episodes=440 episode_len=15 total_reward=71.34929206039628
iter=491 n_episodes=441 episode_len=15 total_reward=71.11720354404534
iter=506 n_episodes=442 episode_len=15 total_reward=71.27863157165062
iter=521 n_episodes=443 episode_len=15 total_reward=71.11597662545077
iter=536 n_episodes=444 episode_len=15 total_reward=71.27142454196175
iter=551 n_episodes=445 episode_len=15 total_reward=71.22692907912855
iter=566 n_episodes=446 episode_len=15 total_reward=71.10611785857836
iter=581 n_episodes=447 episode_len=15 total_reward=71.33148569681435
iter=596 n_episodes=448 episode_len=15 total_reward=71.38339662246061
iter=611 n_episodes=449 episode_len=15 total_reward=71.07876442348075
iter=626 n_episodes=450 episode_len=15 total_reward=71.04913730695687
iter=641 n_episodes=451 episode_len=15 total_reward=71.11813862868644
iter=656 n_episodes=452 episode_len=15 total_reward=71.26837823472283
iter=671 n_episodes=453 episode_len=15 total_reward=71.37948920766969
iter=686 n_episodes=454 episode_len=15 total_reward=71.17204031387216
iter=701 n_episodes=455 episode_len=15 total_reward=71.29900729719913
iter=716 n_episodes=456 episode_len=15 total_reward=71.45299541583736
iter=731 n_episodes=457 episode_len=15 total_reward=71.10820711785595
iter=746 n_episodes=458 episode_len=15 total_reward=71.21687361672508
iter=761 n_episodes=459 episode_len=15 total_reward=71.07812259730593
iter=776 n_episodes=460 episode_len=15 total_reward=71.17216838897714
iter=791 n_episodes=461 episode_len=15 total_reward=71.03938253729488
iter=806 n_episodes=462 episode_len=15 total_reward=71.29272989220095
iter=821 n_episodes=463 episode_len=15 total_reward=71.11677000367831
iter=836 n_episodes=464 episode_len=15 total_reward=71.221082168316
iter=851 n_episodes=465 episode_len=15 total_reward=71.12455934368278
iter=866 n_episodes=466 episode_len=15 total_reward=71.11607061733179
iter=881 n_episodes=467 episode_len=15 total_reward=71.49691957643311
iter=896 n_episodes=468 episode_len=15 total_reward=71.15287401027628
iter=911 n_episodes=469 episode_len=15 total_reward=71.15738457874843
iter=926 n_episodes=470 episode_len=15 total_reward=71.45335639893474
