iter=12 n_episodes=52 episode_len=14 total_reward=0.33832809739036795
iter=137 n_episodes=53 episode_len=125 total_reward=235.41409975374404
iter=307 n_episodes=54 episode_len=170 total_reward=57.85081459370595
iter=421 n_episodes=55 episode_len=114 total_reward=24.622649547942746
iter=555 n_episodes=56 episode_len=134 total_reward=14.59309482364534
iter=622 n_episodes=57 episode_len=67 total_reward=-9.324061814572973
iter=689 n_episodes=58 episode_len=67 total_reward=-8.206646547930147
iter=756 n_episodes=59 episode_len=67 total_reward=-7.549639888953903
iter=823 n_episodes=60 episode_len=67 total_reward=-10.945727090564114
iter=890 n_episodes=61 episode_len=67 total_reward=-9.101257105706397
iter=957 n_episodes=62 episode_len=67 total_reward=-6.302383895943705
iter=1024 n_episodes=63 episode_len=67 total_reward=-10.049365805008646
iter=1090 n_episodes=64 episode_len=66 total_reward=-9.602529554941427
iter=1157 n_episodes=65 episode_len=67 total_reward=-9.158067079597613
iter=1224 n_episodes=66 episode_len=67 total_reward=-6.9659448502781665
iter=1290 n_episodes=67 episode_len=66 total_reward=-8.242028145777098
iter=1357 n_episodes=68 episode_len=67 total_reward=-7.402020286924393
iter=1422 n_episodes=69 episode_len=65 total_reward=-8.772225343778993
iter=1550 n_episodes=70 episode_len=128 total_reward=111.33781954021377
iter=1627 n_episodes=71 episode_len=77 total_reward=68.22460723280832
iter=1810 n_episodes=72 episode_len=183 total_reward=156.5800238299575
iter=2037 n_episodes=73 episode_len=227 total_reward=232.17323320856363
iter=2277 n_episodes=74 episode_len=240 total_reward=367.65018474846266
iter=2681 n_episodes=75 episode_len=404 total_reward=301.64611569403723
iter=3073 n_episodes=76 episode_len=392 total_reward=313.4539397700723
iter=3277 n_episodes=77 episode_len=204 total_reward=92.18697110289352
iter=3477 n_episodes=78 episode_len=200 total_reward=103.06679137797883
iter=3615 n_episodes=79 episode_len=138 total_reward=45.007073790442554
iter=3660 n_episodes=80 episode_len=45 total_reward=-7.898458006463041
iter=3704 n_episodes=81 episode_len=44 total_reward=-9.56686180974925
iter=3753 n_episodes=82 episode_len=49 total_reward=-6.719647894680035
iter=3810 n_episodes=83 episode_len=57 total_reward=-6.302101055700951
iter=3857 n_episodes=84 episode_len=47 total_reward=-8.236696625342107
iter=3945 n_episodes=85 episode_len=88 total_reward=-21.74498896845319
iter=4069 n_episodes=86 episode_len=124 total_reward=-11.998003164856065
iter=4130 n_episodes=87 episode_len=61 total_reward=-9.093145707759295
iter=4252 n_episodes=88 episode_len=122 total_reward=-45.155291534513445
iter=4330 n_episodes=89 episode_len=78 total_reward=-23.95019336836035
iter=4502 n_episodes=90 episode_len=172 total_reward=269.2093903653051
iter=4647 n_episodes=91 episode_len=145 total_reward=270.7311909479605
iter=4819 n_episodes=92 episode_len=172 total_reward=293.1056204796759
iter=4988 n_episodes=93 episode_len=169 total_reward=281.50259702541626
iter=5166 n_episodes=94 episode_len=178 total_reward=295.385951439115
iter=5495 n_episodes=95 episode_len=329 total_reward=448.46820349273924
iter=5619 n_episodes=96 episode_len=124 total_reward=219.80944701915686
iter=5887 n_episodes=97 episode_len=268 total_reward=403.2447571731808
