iter=9 n_episodes=52 episode_len=10 total_reward=-0.9767431420393512
iter=17 n_episodes=53 episode_len=8 total_reward=-1.800636818846213
iter=24 n_episodes=54 episode_len=7 total_reward=-2.111728361809644
iter=32 n_episodes=55 episode_len=8 total_reward=-1.5086222196149115
iter=41 n_episodes=56 episode_len=9 total_reward=0.003962112803216955
iter=214 n_episodes=57 episode_len=173 total_reward=60.19716946213378
iter=287 n_episodes=58 episode_len=73 total_reward=-10.64130055542395
iter=421 n_episodes=59 episode_len=134 total_reward=31.334836009208797
iter=605 n_episodes=60 episode_len=184 total_reward=70.57692739411156
iter=839 n_episodes=61 episode_len=234 total_reward=120.9793803849948
iter=1069 n_episodes=62 episode_len=230 total_reward=351.03822263515224
iter=1261 n_episodes=63 episode_len=192 total_reward=313.1461595311699
iter=1476 n_episodes=64 episode_len=215 total_reward=336.6098198497879
iter=1722 n_episodes=65 episode_len=246 total_reward=368.0026740180245
iter=1960 n_episodes=66 episode_len=238 total_reward=149.33369569471967
iter=2102 n_episodes=67 episode_len=142 total_reward=39.14661088398259
iter=2344 n_episodes=68 episode_len=242 total_reward=388.3268395733107
iter=2460 n_episodes=69 episode_len=116 total_reward=17.85692607646498
iter=2612 n_episodes=70 episode_len=152 total_reward=76.03936690528865
iter=2867 n_episodes=71 episode_len=255 total_reward=364.4315798973556
iter=3800 n_episodes=72 episode_len=933 total_reward=1088.7643518032514
iter=4027 n_episodes=73 episode_len=227 total_reward=124.97037849297017
iter=4197 n_episodes=74 episode_len=170 total_reward=292.31540438299004
iter=4280 n_episodes=75 episode_len=83 total_reward=-22.182213309921153
iter=4462 n_episodes=76 episode_len=182 total_reward=304.4412197614512
iter=4571 n_episodes=77 episode_len=109 total_reward=14.42375584239344
iter=4703 n_episodes=78 episode_len=132 total_reward=32.23370284432418
iter=4874 n_episodes=79 episode_len=171 total_reward=49.47737796414975
iter=5103 n_episodes=80 episode_len=229 total_reward=207.36117213543054
iter=5271 n_episodes=81 episode_len=168 total_reward=288.55132574463806
iter=5440 n_episodes=82 episode_len=169 total_reward=56.900927142028834
iter=5604 n_episodes=83 episode_len=164 total_reward=43.72580049176946
iter=5844 n_episodes=84 episode_len=240 total_reward=363.1174109974685
iter=6004 n_episodes=85 episode_len=160 total_reward=279.64249927280065
iter=6146 n_episodes=86 episode_len=142 total_reward=258.01942388089986
iter=6390 n_episodes=87 episode_len=244 total_reward=138.94292084014597
iter=6556 n_episodes=88 episode_len=166 total_reward=281.86786209907484
iter=6736 n_episodes=89 episode_len=180 total_reward=300.81732062259306
iter=6946 n_episodes=90 episode_len=210 total_reward=86.30186798839016
iter=7039 n_episodes=91 episode_len=93 total_reward=182.57727288594342
iter=7298 n_episodes=92 episode_len=259 total_reward=184.1578221896389
iter=7413 n_episodes=93 episode_len=115 total_reward=220.98809967065839
iter=7655 n_episodes=94 episode_len=242 total_reward=139.81471077773685
iter=7847 n_episodes=95 episode_len=192 total_reward=99.93296800531645
iter=8013 n_episodes=96 episode_len=166 total_reward=287.4842522276969
iter=8207 n_episodes=97 episode_len=194 total_reward=79.19508948241818
iter=8386 n_episodes=98 episode_len=179 total_reward=84.8218096373427
iter=8541 n_episodes=99 episode_len=155 total_reward=90.56401910312941
iter=8662 n_episodes=100 episode_len=121 total_reward=229.52232709948885
iter=8803 n_episodes=101 episode_len=141 total_reward=259.5945894862026
iter=9254 n_episodes=102 episode_len=451 total_reward=389.3904252218666
iter=9436 n_episodes=103 episode_len=182 total_reward=298.2110906718194
iter=9845 n_episodes=104 episode_len=409 total_reward=454.9211357616193
iter=9968 n_episodes=105 episode_len=123 total_reward=71.84674875142387
iter=10113 n_episodes=106 episode_len=145 total_reward=263.358291397241
iter=10235 n_episodes=107 episode_len=122 total_reward=62.102978121853155
iter=10299 n_episodes=108 episode_len=64 total_reward=125.44642188015192
iter=10462 n_episodes=109 episode_len=163 total_reward=280.11057905687346
iter=10771 n_episodes=110 episode_len=309 total_reward=179.84020647909563
iter=11025 n_episodes=111 episode_len=254 total_reward=180.57207575718778
iter=11171 n_episodes=112 episode_len=146 total_reward=262.9980893087368
iter=11344 n_episodes=113 episode_len=173 total_reward=294.19440414477367
iter=11461 n_episodes=114 episode_len=117 total_reward=210.56711223307244
iter=11615 n_episodes=115 episode_len=154 total_reward=269.50720444686715
iter=11691 n_episodes=116 episode_len=76 total_reward=145.07261132773672
